code,tickers,name,industry
6610,6610.HK,FLOWING CLOUD TECHNOLOGY LTD,Technology Services
1029,1029.HK,IRC LIMITED,Non-Energy Minerals
0306,0306.HK,KWOON CHUNG BUS HLDGS,Transportation
2270,2270.HK,DESUN R/EST INV SVCS GP CO LTD,Finance
2008,2008.HK,PHOENIX MEDIA INV (HLDGS) LTD,Communications
3737,3737.HK,ZHONGZHI PHARMACEUTICAL HLDGS LTD,Health Technology
6622,6622.HK,ZHAOKE OPHTHALMOLOGY LTD,Health Technology
1745,1745.HK,LVJI TECHNOLOGY HLDGS INC.,Technology Services
1777,1777.HK,FANTASIA HOLDINGS GROUP CO LTD,Finance
2260,2260.HK,VANOV HLDGS CO LTD,Process Industries
2399,2399.HK,CHINA ANCHU ENERGY STORAGE GROUP LT,Consumer Non-Durables
1756,1756.HK,CHINA VOCATIONAL EDUCATION HLDGS LT,Commercial Services
0950,0950.HK,LEES PHARMACEUTICAL HLDGS,Health Technology
1026,1026.HK,UNIVERSAL TECHNOLOGIES HLDGS,Utilities
0611,0611.HK,CHINA NUCLEAR ENERGY TECHNOLOGY,Industrial Services
9955,9955.HK,CLOUDR GROUP LTD,Health Services
0976,0976.HK,CHIHO ENVIRONMENT GROUP LTD,Non-Energy Minerals
1431,1431.HK,YUANSHENGTAI DAIRY FARM LIMITED,Consumer Non-Durables
1303,1303.HK,HUILI RESOURCES GRROUP LTD,Distribution Services
2033,2033.HK,TIME WATCH INVESTMENTS LIMITED,Consumer Durables
2337,2337.HK,UNITED STRENGTH POWER HLDGS LTD,Utilities
1278,1278.HK,CHINA NEW TOWN DEVELOPMENT CO,Finance
0184,0184.HK,KECK SENG INVESTMENTS(HONK KONG),Consumer Services
2000,2000.HK,SIM TECHNOLOGY GROUP LIMITED,Electronic Technology
0536,0536.HK,TRADELINK ELECTRONIC COMMERCE LTD,Retail Trade
0227,0227.HK,FIRST SHANGHAI INVESTMENTS,Finance
0154,0154.HK,BEIJING ENTERPRISES ENVIRONMENT GRO,Utilities
0255,0255.HK,LUNG KEE GROUP HOLDINGS LTD,Producer Manufacturing
1948,1948.HK,UJU HLDG LTD,Commercial Services
0898,0898.HK,MULTIFIELD INTERNATIONAL HLDGS,Finance
0124,0124.HK,GUANGDONG LAND HOLDINGS LIMITED,Finance
2236,2236.HK,WISON ENGINEERING SERVICES CO LTD,Industrial Services
0217,0217.HK,CHINA CHENGTONG DEVELOPMENT GROUP,Distribution Services
8195,8195.HK,LEGENDARY EDUCATION GROUP LTD,Consumer Non-Durables
0677,0677.HK,GOLDEN RESOURCES DEV INT,Retail Trade
2011,2011.HK,GILSTON GROUP LTD,Producer Manufacturing
1565,1565.HK,VIRSCEND EDUCATION COMPANY LTD,Consumer Services
1100,1100.HK,MAINLAND HEADWEAR HLDGS,Consumer Non-Durables
2152,2152.HK,SUXIN JOYFUL LIFE SERVICES CO LTD,Finance
9900,9900.HK,GAIN PLUS HLDGS LTD,Industrial Services
1628,1628.HK,YUZHOU GROUP HOLDINGS COMPANY LTD,Finance
9919,9919.HK,ACTIVATION GROUP HLDGS LTD,Commercial Services
6036,6036.HK,APEX ACE HLDG LTD,Distribution Services
1652,1652.HK,FUSEN PHARMACEUTICAL CO LTD,Health Technology
2100,2100.HK,BAIOO FAMILY INTERACTIVE LIMITED,Technology Services
6136,6136.HK,KANGDA INTL ENVIRONMENTAL CO LTD,Industrial Services
