code,tickers,name
2044,2044.T,NEXT NOTES S&P 500 Dividend Aristocrats Net Total
2031,2031.T,NEXT NOTES HSI Leveraged
2552,2552.T,Listed Index Fund J-REIT (Tokyo Stock Exchange REI
1399,1399.T,Nikko MSCI JP Eq High Div Low Vol
1632,1632.T,NEXT FUNDS TOPIX-17 Financials (ExBanks)
1573,1573.T,China H-share Bear -1x
2626,2626.T,Global X Digital Innovation Japan
1322,1322.T,Listed Index Fund China A Share CSI300
1546,1546.T,NEXT FUNDS Dow Jones Industrial Average
2566,2566.T,Listed Index Fund Nikkei ESG REIT
2519,2519.T,NEXT FUNDS EM J.P.Morgan EMBI Plus (Unhedged)
182A,182A.T,MAXIS US Treasury Bond 20+ Year (Unhedged)
1627,1627.T,NEXT FUNDS TOPIX-17 Electric Power & Gas
2853,2853.T,iShares Climate Risk-Adjusted Global ex Japan Gove
2252,2252.T,Global X Morningstar US Small Mid Moat
2098,2098.T,Global X Hotel & Retail J-REIT
2527,2527.T,Nochu NZAM J-REIT Core Index
1690,1690.T,WisdomTree WTI Crude Oil
1494,1494.T,One High Dividend Japan Equity
2852,2852.T,iShares Japan Green REIT
1681,1681.T,Listed Index Fund International Emerging Countries
1593,1593.T,MAXIS JPX-Nikkei 400
234A,234A.T,Global X MSCI Japan Cash Flow Kings
2867,2867.T,Global X Autonomous & EV
1591,1591.T,NEXT FUNDS JPX-Nikkei Index 400
2648,2648.T,NEXT FUNDS Bloomberg US Treasury Bond (7-10 year)
2565,2565.T,Global X Logistics J-REIT
2086,2086.T,NZAM S&P500 (JPY Hedged)
2629,2629.T,iFreeETF China GBA100
2636,2636.T,Global X MSCI Governance-Quality Japan
2040,2040.T,NEXT NOTES DJIA Price Return JPY Monthly Hedged Le
1657,1657.T,iShares Core MSCI Kokusai
1487,1487.T,Listed Index Fund US Bond (Currency Hedge)
2622,2622.T,iShares USD Emerging Markets Bond JPY Hedged
1629,1629.T,NEXT FUNDS TOPIX-17 Comm & Wholesale Trd
1688,1688.T,WisdomTree Grains
2528,2528.T,Daiwa Tokyo Stock Exchange REIT Core Index
2047,2047.T,NEXT NOTES Nifty Total Return Daily Inverse
210A,210A.T,iFreeETF Nikkei High Yield REIT Index
2864,2864.T,Global X Logistics REIT
2858,2858.T,Global X Nikkei 225 Covered Call (option premium r
2097,2097.T,Global X Residential J-REIT
2032,2032.T,NEXT NOTES HSI Short
2567,2567.T,NZAM S&P/JPX Carbon Efficient Index
2235,2235.T,Listed Index Fund US Equity (Dow Average) No Curre
2096,2096.T,Global X Office J-REIT
1543,1543.T,Mitsubishi Japan Physical Palladium
2850,2850.T,NEXT FUNDS Solactive Japan ESG Core Index Exchange
2037,2037.T,NEXT NOTES Nikkei-TOCOM Inverse Gold
