code,tickers,name,industry
SUNLITE.NS,SUNLITE.NS,SUNLITE RECYCLING IND LTD,Non-Energy Minerals
MANAKALUCO.NS,MANAKALUCO.NS,MANAKSIA ALUMINIUM COMPANY LTD,Non-Energy Minerals
BDH.NS,BDH.NS,BDH INDUSTRIES LTD.,Health Technology
SOMICONVEY.NS,SOMICONVEY.NS,SOMI CONVEYOR BELTINGS LTD.,Producer Manufacturing
SYSCHEM.NS,SYSCHEM.NS,SYSCHEM (INDIA) LTD.,Health Technology
DEEP.NS,DEEP.NS,DEEP POLYMERS LIMITED,Process Industries
ATVPR.NS,ATVPR.NS,ATV PROJECTS INDIA LTD.,Producer Manufacturing
BAFNAPH.NS,BAFNAPH.NS,BAFNA PHARMACEUTICALS LTD.,Health Technology
GSS.NS,GSS.NS,GSS INFOTECH LTD.,Technology Services
VJTFEDU.NS,VJTFEDU.NS,VJTF EDUSERVICES LTD.,Consumer Services
AAREYDRUGS.NS,AAREYDRUGS.NS,AAREY DRUGS & PHARM LTD,Health Technology
SANGAMFIN.NS,SANGAMFIN.NS,SANGAM FINSERV LIMITED,Finance
WARDWIZFBL.NS,WARDWIZFBL.NS,WARDWIZARD FOODS AND BEVERAGES,Distribution Services
ANMOL.NS,ANMOL.NS,ANMOL INDIA LIMITED,Distribution Services
VITAL.NS,VITAL.NS,VITAL CHEMTECH LTD,Process Industries
FORCAS.NS,FORCAS.NS,FORCAS STUDIO LTD,Consumer Non-Durables
AICHAMP.NS,AICHAMP.NS,AI CHAMPDANY INDUSTRIES LTD.,Process Industries
SIL.NS,SIL.NS,STANDARD INDUSTRIES LTD.,Process Industries
HPBL.NS,HPBL.NS,HCP PLASTENE BULKPACK LIMITED,Process Industries
INDINFO.NS,INDINFO.NS,INDIAN INFOTECH & SOFTWARE LTD,Finance
NIMBSPROJ.NS,NIMBSPROJ.NS,NIMBUS PROJECTS LTD.,Finance
THAKDEV.NS,THAKDEV.NS,THAKKERS DEVELOPERS LTD.,Consumer Durables
AVANCE.NS,AVANCE.NS,AVANCE TECHNOLOGIES LTD.,Technology Services
ZENITHEXPO.NS,ZENITHEXPO.NS,ZENITH EXPORTS LTD,Consumer Non-Durables
CHETANA.NS,CHETANA.NS,CHETANA EDUCATION LTD,Consumer Services
ENVIRO.NS,ENVIRO.NS,ENVIROTECH SYSTEMS LTD,Producer Manufacturing
STEELCITY.NS,STEELCITY.NS,STEEL CITY SECURITIES LTD,Finance
DIGJAMLMTD.NS,DIGJAMLMTD.NS,DIGJAM LIMITED,Process Industries
MANGALAM.NS,MANGALAM.NS,MANGALAM DRUGS & ORGANICS LTD.,Health Technology
PRIZOR.NS,PRIZOR.NS,PRIZOR VIZTECH LTD,Distribution Services
BASANTGL.NS,BASANTGL.NS,BASANT AGRO TECH (INDIA) LTD.,Process Industries
BAIDFIN.NS,BAIDFIN.NS,BAID FINSERV LIMITED,Finance
GREENCHEF.NS,GREENCHEF.NS,GREENCHEF APPLIANCES LTD,Consumer Durables
URBAN.NS,URBAN.NS,URBAN ENVIRO WASTE MGMT L,Transportation
KAIRA.NS,KAIRA.NS,KAIRA CAN CO.LTD.,Process Industries
SAVERA.NS,SAVERA.NS,SAVERA INDUSTRIES LTD.,Consumer Services
TOYAMSL.NS,TOYAMSL.NS,TOYAM SPORTS LIMITED,Finance
AIROLAM.NS,AIROLAM.NS,AIRO LAM LTD,Non-Energy Minerals
VEDAVAAG.NS,VEDAVAAG.NS,VEDAVAAG SYSTEMS LTD.,Technology Services
BCCL.NS,BCCL.NS,BHATIA COLOUR CHEM LIMITED,Process Industries
MRO_TEK.NS,MRO_TEK.NS,MRO-TEK REALTY LIMITED,Electronic Technology
MAHESHWARI.NS,MAHESHWARI.NS,MAHESHWARI LOGISTICS LTD.,Transportation
ANSALAPI.NS,ANSALAPI.NS,ANSAL PROPERTIES & INFRASTRUCT,Finance
GUJINTRX.NS,GUJINTRX.NS,GUJARAT INTRUX LTD.,Non-Energy Minerals
ENFUSE.NS,ENFUSE.NS,ENFUSE SOLUTIONS LTD,Technology Services
USASEEDS.NS,USASEEDS.NS,UPSURGE SEEDS OF AGRI LTD,Process Industries
DCM.NS,DCM.NS,DCM LTD.,Technology Services
PARNAXLAB.NS,PARNAXLAB.NS,PARNAX LAB LTD.,Health Technology
BNALTD.NS,BNALTD.NS,B & A LTD.,Process Industries
HVAX.NS,HVAX.NS,HVAX TECHNOLOGIES LTD,Producer Manufacturing
ODYSSEY.NS,ODYSSEY.NS,ODYSSEY TECHNOLOGIES LTD.,Technology Services
RULKA.NS,RULKA.NS,RULKA ELECTRICALS LTD,Industrial Services
WINSOMTX.NS,WINSOMTX.NS,WINSOME TEXTILE INDUSTRIES LTD,Process Industries
JOCIL.NS,JOCIL.NS,JOCIL LTD,Process Industries
SKPSEC.NS,SKPSEC.NS,SKP SECURITIES LTD.,Finance
IBLFL.NS,IBLFL.NS,IBL FINANCE LTD,Finance
CFEL.NS,CFEL.NS,CONFIDENCE FUTURISTIC ENERGETE,Process Industries
DHPIND.NS,DHPIND.NS,DHP INDIA LTD.,Producer Manufacturing
CGVAK.NS,CGVAK.NS,CG-VAK SOFTWARE & EXPORTS LTD.,Technology Services
PARSHVA.NS,PARSHVA.NS,PARSHVA ENTERPRISES LIMITED,Distribution Services
IL_FSTRANS.NS,IL_FSTRANS.NS,IL&FS TRANSPORTATION NETWORKS,Industrial Services
SEML.NS,SEML.NS,SUNRISE EFFICIENT MARKETING LI,Distribution Services
MITSU.NS,MITSU.NS,MITSU CHEM PLAST LIMITED,Producer Manufacturing
KALYANIFRG.NS,KALYANIFRG.NS,KALYANI FORGE LTD,Producer Manufacturing
PALASHSECU.NS,PALASHSECU.NS,PALASH SECURITIES LIMITED,Consumer Non-Durables
TOUCHWOOD.NS,TOUCHWOOD.NS,TOUCHWOOD ENTERTAIN LTD.,Commercial Services
BRIGHTBR.NS,BRIGHTBR.NS,BRIGHT BROTHERS LTD.,Process Industries
GENPHARMA.NS,GENPHARMA.NS,GENPHARMASEC LIMITED,Process Industries
AKI.NS,AKI.NS,AKI INDIA LIMITED,Process Industries
DIGIDRIVE.NS,DIGIDRIVE.NS,DIGIDRIVE DISTRIBUTORS L,Retail Trade
CNIRESLTD.NS,CNIRESLTD.NS,CNI RESEARCH LTD.,Technology Services
PKTEA.NS,PKTEA.NS,THE P K TEA PROD CO LTD,Process Industries
AKSHOPTFBR.NS,AKSHOPTFBR.NS,AKSH OPTIFIBRE LTD,Electronic Technology
FONEBOX.NS,FONEBOX.NS,FONEBOX RETAIL LTD,Retail Trade
EROSMEDIA.NS,EROSMEDIA.NS,EROS INTL MEDIA LTD,Consumer Services
MHLXMIRU.NS,MHLXMIRU.NS,MAHALAXMI RUBTECH LTD,Process Industries
BENGALT.NS,BENGALT.NS,BENGAL TEA & FABRICS LTD.,Consumer Non-Durables
MCPL.NS,MCPL.NS,MANOJ CERAMIC LIMITED,Retail Trade
MODAIRY.NS,MODAIRY.NS,MODERN DAIRIES LTD.,Consumer Non-Durables
SOMATEX.NS,SOMATEX.NS,SOMA TEXTILES & INDUSTRIES LTD,Process Industries
GICL.NS,GICL.NS,GLOBE INTL CARRIERS LTD,Transportation
SIKKO.NS,SIKKO.NS,SIKKO INDUSTRIES LTD,Process Industries
SPLIL.NS,SPLIL.NS,SPL INDUSTRIES LTD,Consumer Non-Durables
QUESTLAB.NS,QUESTLAB.NS,QUEST LABORATORIES LTD,Health Technology
WIPL.NS,WIPL.NS,THE WESTERN INDIA PLY LTD,Non-Energy Minerals
RADHEDE.NS,RADHEDE.NS,RADHE DEVELOPERS (INDIA) LTD.,Consumer Durables
TARMAT.NS,TARMAT.NS,TARMAT LTD.,Industrial Services
CONSTRONIC.NS,CONSTRONIC.NS,CONSTRONICS INFRA LIMITED,Distribution Services
RRETAIL.NS,RRETAIL.NS,RAJNISH RETAIL LIMITED,Retail Trade
TAMBOLIIN.NS,TAMBOLIIN.NS,TAMBOLI INDUSTRIES LIMITED,Finance
VGCL.NS,VGCL.NS,VIBRANT GLOBAL CAPITAL LIMITED,Finance
RATNABHUMI.NS,RATNABHUMI.NS,RATNABHUMI DEVELOPERS LIMITED,Finance
RELCHEMQ.NS,RELCHEMQ.NS,RELIANCE CHEMOTEX IND LTD,Process Industries
DBSTOCKBRO.NS,DBSTOCKBRO.NS,DB (INTERNATIONAL) STOCK BROKE,Finance
TIRUSTA.NS,TIRUSTA.NS,TIRUPATI STARCH & CHEMICALS LT,Consumer Non-Durables
GAYAPROJ.NS,GAYAPROJ.NS,GAYATRI PROJECTS LTD,Industrial Services
BHANDARI.NS,BHANDARI.NS,BHANDARI HOSIERY EXPORTS LTD.,Consumer Non-Durables
HPIL.NS,HPIL.NS,HINDPRAKASH INDUSTRY LTD,Process Industries
INDIANACRY.NS,INDIANACRY.NS,INDIAN ACRYLICS LTD.,Process Industries
RAJNISH.NS,RAJNISH.NS,RAJNISH WELLNESS LIMITED,Distribution Services
CALCOM.NS,CALCOM.NS,CALCOM VISION LTD.,Producer Manufacturing
SALONA.NS,SALONA.NS,SALONA COTSPIN LTD.,Process Industries
DFPL.NS,DFPL.NS,DINDIGUL FARM PRODUCT LIMITED,Consumer Non-Durables
HOMESFY.NS,HOMESFY.NS,HOMESFY REALTY LTD,Technology Services
PICCASUG.NS,PICCASUG.NS,PICCADILY SUGAR & ALLIED INDUS,Process Industries
RAJABAH.NS,RAJABAH.NS,RAJA BAHADUR INTERNATIONAL LTD,Finance
MITCON.NS,MITCON.NS,MITCON CON & ENG SER LTD,Commercial Services
SIMMOND.NS,SIMMOND.NS,SIMMONDS MARSHALL LTD.,Producer Manufacturing
7SEASL.NS,7SEASL.NS,7SEAS ENTERTAINMENT LIMITED,Technology Services
NAGPI.NS,NAGPI.NS,NAGPUR POWER & INDUSTRIES LTD.,Electronic Technology
LAMBODHARA.NS,LAMBODHARA.NS,LAMBODHARA TEXTILES LTD.,Process Industries
SHRITECH.NS,SHRITECH.NS,SHRI TECHTEX LTD,Process Industries
ALFREDHE.NS,ALFREDHE.NS,ALFRED HERBERT (INDIA) LTD.,Producer Manufacturing
GUJCMDS.NS,GUJCMDS.NS,GUJCHEM DISTILLERS INDIA LTD.,Process Industries
PRAKASHSTL.NS,PRAKASHSTL.NS,PRAKASH STEELAGE LTD,Non-Energy Minerals
CASPIAN.NS,CASPIAN.NS,CASPIAN CORPORATE SERVICES LIM,Commercial Services
BCPL.NS,BCPL.NS,BCPL RAILWAY INFRASTRUCTURE LI,Industrial Services
SURYALAXMI.NS,SURYALAXMI.NS,SURYALAKSHMI COTTON MILLS LTD.,Process Industries
THINKINK.NS,THINKINK.NS,THINKINK PICTUREZ LIMITED,Consumer Services
CUBEXTUB.NS,CUBEXTUB.NS,CUBEX TUBINGS LTD,Non-Energy Minerals
INDIANCARD.NS,INDIANCARD.NS,INDIAN CARD CLOTHING CO.,Producer Manufacturing
BHARATGEAR.NS,BHARATGEAR.NS,BHARAT GEARS LTD.,Producer Manufacturing
AAATECH.NS,AAATECH.NS,AAA TECHNOLOGIES LIMITED,Technology Services
AMBEY.NS,AMBEY.NS,AMBEY LABORATORIES LTD,Process Industries
KAJARIR.NS,KAJARIR.NS,KIC METALIKS LTD.,Non-Energy Minerals
ROML.NS,ROML.NS,RAJ OIL MILLS LTD,Process Industries
LUDLOWJUT.NS,LUDLOWJUT.NS,LUDLOW JUTE & SPECIALITIES LTD,Process Industries
VASWANI.NS,VASWANI.NS,VASWANI INDUSTRIES LTD.,Non-Energy Minerals
SMRUTHIORG.NS,SMRUTHIORG.NS,SMRUTHI ORGANICS LIMITED,Health Technology
DECCANTRAN.NS,DECCANTRAN.NS,DECCAN TRANSCON LEASING L,Transportation
KFBL.NS,KFBL.NS,KOTHARI FERMENTATION & BIOCHEM,Consumer Non-Durables
MACPLASQ.NS,MACPLASQ.NS,MACHINO PLASTICS LTD.,Producer Manufacturing
AUSOMENT.NS,AUSOMENT.NS,AUSOM ENTERPRISE LIMITED,Finance
ECOPLAST.NS,ECOPLAST.NS,ECOPLAST LTD.,Process Industries
VLL.NS,VLL.NS,VIRAT LEASING LIMITED,Finance
PARVATI.NS,PARVATI.NS,PARVATI SWEETNERS AND POWER LT,Process Industries
HSIL.NS,HSIL.NS,HEMANT SURGICAL INDUSTRIES LIM,Health Technology
BIHSPONG.NS,BIHSPONG.NS,BIHAR SPONGE IRON LTD.,Non-Energy Minerals
EFORCE.NS,EFORCE.NS,ELECTRO FORCE (INDIA) LTD,Producer Manufacturing
AVROIND.NS,AVROIND.NS,AVRO INDIA LIMITED,Consumer Durables
ACSAL.NS,ACSAL.NS,ARVIND AND COMPANY,Transportation
PREMCO.NS,PREMCO.NS,PREMCO GLOBAL LTD.,Process Industries
GLOBE.NS,GLOBE.NS,GLOBE TEXTILES (I) LTD.,Process Industries
ACCURACY.NS,ACCURACY.NS,ACCURACY SHIPPING LTD,Transportation
KOHINOOR.NS,KOHINOOR.NS,KOHINOOR FOODS LTD.,Process Industries
ITL.NS,ITL.NS,ITL INDUSTRIES LTD.,Producer Manufacturing
SNL.NS,SNL.NS,SNL BEARINGS LTD.,Producer Manufacturing
ULTRACAB.NS,ULTRACAB.NS,ULTRACAB (INDIA) LIMITED,Producer Manufacturing
GOLKUNDIA.NS,GOLKUNDIA.NS,GOLKUNDA DIAMONDS & JEWELLERY,Consumer Durables
SOURCENTRL.NS,SOURCENTRL.NS,SOURCE NATURAL FOODS & HERBAL,Health Technology
KAKATCEM.NS,KAKATCEM.NS,KAKATIYA CEM SUGAR &IND L,Non-Energy Minerals
DAIKAFFI.NS,DAIKAFFI.NS,DAIKAFFIL CHEMICALS INDIA LTD.,Process Industries
MADHAVBAUG.NS,MADHAVBAUG.NS,VAIDYA SANE AYUR LAB LTD,Health Services
JAMESWARREN.NS,JAMESWARREN.NS,JAMES WARREN TEA LTD,Consumer Non-Durables
BAROEXT.NS,BAROEXT.NS,BARODA EXTRUSION LTD.,Non-Energy Minerals
INDSILHYD.NS,INDSILHYD.NS,INDSIL HYDRO POWER AND MANGANE,Non-Energy Minerals
SUPTANERY.NS,SUPTANERY.NS,SUPER TANNERY LIMITED,Process Industries
STL.NS,STL.NS,SHREEJI TRANSLOGISTICS LIMITED,Transportation
RAPPID.NS,RAPPID.NS,RAPPID VALVES (INDIA) LTD,Producer Manufacturing
KEL.NS,KEL.NS,KUNDAN EDIFICE LTD,Producer Manufacturing
SELMC.NS,SELMC.NS,SEL MANUFACTURING COMPANY LTD.,Process Industries
BTML.NS,BTML.NS,BODHI TREE MULTIMEDIA LIMITED,Consumer Services
ELNET.NS,ELNET.NS,ELNET TECHNOLOGIES LTD.,Finance
KESARENT.NS,KESARENT.NS,KESAR ENTERPRISES LTD.,Process Industries
NARBADA.NS,NARBADA.NS,NARBADA GEMS AND JEWELLERY LTD,Consumer Durables
SAMRATPH.NS,SAMRATPH.NS,SAMRAT PHARMACHEM LTD.,Process Industries
HECPROJECT.NS,HECPROJECT.NS,HEC INFRA PROJECTS LTD,Industrial Services
BRPL.NS,BRPL.NS,BANSAL ROOFING PRODUCTS LTD,Producer Manufacturing
TFL.NS,TFL.NS,TRANSWARRANTY FIN. LTD.,Finance
BAWEJA.NS,BAWEJA.NS,BAWEJA STUDIOS LTD,Consumer Services
ATAM.NS,ATAM.NS,ATAM VALVES LTD,Producer Manufacturing
DEEPAKSP.NS,DEEPAKSP.NS,DEEPAK SPINNERS LTD.,Process Industries
BEARDSELL.NS,BEARDSELL.NS,BEARDSELL LTD,Process Industries
COSCO.NS,COSCO.NS,COSCO (INDIA) LTD.,Consumer Durables
LOTUSEYE.NS,LOTUSEYE.NS,LOTUS EYE HOSPITAL AND INSTITU,Health Services
CANDOUR.NS,CANDOUR.NS,CANDOUR TECHTEX LIMITED,Process Industries
KLRFM.NS,KLRFM.NS,KOVILPATTI LAKSHMI ROLLER FLOU,Process Industries
ATHENAGLO.NS,ATHENAGLO.NS,ATHENA GLOBAL TECHNOLOGIES LIM,Technology Services
SURYALA.NS,SURYALA.NS,SURYALATA SPINNING MILLS LTD.,Process Industries
RAMAVISION.NS,RAMAVISION.NS,RAMA VISION LTD.,Distribution Services
GARGFUR.NS,GARGFUR.NS,GARG FURNACE LTD.,Non-Energy Minerals
NIDHGRN.NS,NIDHGRN.NS,NIDHI GRANITES LTD.,Finance
PATINTLOG.NS,PATINTLOG.NS,PATEL INTEGRATED LOGISTICS LTD,Transportation
DHATRE.NS,DHATRE.NS,DHATRE UDYOG LIMITED,Non-Energy Minerals
GOYALALUM.NS,GOYALALUM.NS,GOYAL ALUMINIUMS LTD,Distribution Services
LASA.NS,LASA.NS,LASA SUPERGENERICS LIMITED,Health Technology
SHAHALLOYS.NS,SHAHALLOYS.NS,SHAH ALLOYS LTD.,Non-Energy Minerals
SHEKHAWATI.NS,SHEKHAWATI.NS,SHEKHAWATI INDUSTRIES LIMITED,Process Industries
PRAMARA.NS,PRAMARA.NS,PRAMARA PROMOTIONS LTD,Consumer Durables
VIRATCRA.NS,VIRATCRA.NS,VIRAT CRANE INDUSTRIES LTD.,Consumer Non-Durables
BI.NS,BI.NS,BILCARE LTD.,Process Industries
BANKA.NS,BANKA.NS,BANKA BIOLOO LTD,Industrial Services
GOKAKTEX.NS,GOKAKTEX.NS,GOKAK TEXTILES LTD.,Process Industries
SODFC.NS,SODFC.NS,SOM DATT FINANCE CORPORATION L,Finance
SETCO.NS,SETCO.NS,SETCO AUTOMOTIVE LTD,Producer Manufacturing
KRYPTONQ.NS,KRYPTONQ.NS,KRYPTON INDUSTRIES LTD.,Consumer Durables
WALLFORT.NS,WALLFORT.NS,WALLFORT FINANCIAL SERVICES LT,Finance
KVFORGE.NS,KVFORGE.NS,KRISHANVEER FORGE LIMITED,Producer Manufacturing
SAUMYA.NS,SAUMYA.NS,SAUMYA CONSULTANTS LTD.,Finance
TIMESGTY.NS,TIMESGTY.NS,TIMES GUARANTY LTD.,Finance
GVFILM.NS,GVFILM.NS,GV FILMS LTD.,Consumer Services
JCTLTD.NS,JCTLTD.NS,JCT LTD.,Process Industries
